STRATUM,STRATUM_AREA
6820,617.38272
6830,826.606864
6840,1430.269968
6850,1310.223328
6860,696.270512
6870,1642.924016
6880,1982.484512
6890,1310.223328
6900,624.242528
6910,1166.16736
6920,655.111664
6930,284.682032
6940,785.448016
6950,1529.737184
6960,1697.80248
7500,164.635392
7510,439.027712
7520,559.074352
7530,181.784912
7540,679.120992
7550,1207.326208
7560,89.177504
7570,1042.690816
7580,1371.9616
7590,181.784912
7600,1721.811808
7610,2370.063664
7620,452.747328
7630,2277.456256
7640,2867.399744
7650,617.38272
7660,2520.97944
7670,2157.409616
7680,785.448016
7690,1660.073536
7700,1251.91496
8500,2730.203584
8510,919.214272
8520,740.859264
8530,514.4856
8540,6050.350656
8550,950.083408
8560,970.662832
8570,1841.858448
8580,4993.940224
8590,723.709744
8600,1162.737456
8770,4057.576432
9110,342.9904
9120,576.223872
9130,301.831552
9140,68.59808
9150,658.541568
9160,720.27984
9170,294.971744
9180,305.261456
9190,137.19616
9200,72.027984
9210,89.177504
9250,212.654048
9260,308.69136
9270,315.551168
9280,322.410976
9290,360.13992
9300,113.186832
9310,123.476544
9320,188.64472
9330,226.373664
9340,181.784912
9350,233.233472
9360,133.766256
6621,1889.877104
6622,514.4856
6662,593.373392
6661,418.448288
6631,1183.31688
6632,1262.204672
6651,394.43896
6652,205.79424
1352,2057.9424
1351,1828.138832
4010,1464.569008
4020,1742.391232
4030,2918.848304
4040,1464.569008
4050,3611.688912
4060,4421.146256
4070,3639.128144
4080,5028.239264
4090,2287.745968
4100,5559.874384
4110,4232.501536
4120,6605.995104
7710,511.055696
7720,1924.176144
7730,1588.045552
7740,758.008784
7750,1399.400832
7760,1399.400832
7770,771.7284
7780,2363.203856
7790,1735.531424
7800,802.597536
7810,2363.203856
7820,1443.989584
7830,174.925104
7840,1879.587392
7850,2507.259824
7860,99.467216
7870,1197.036496
7880,3484.782464
7890,78.887792
7900,1107.858992
7910,1255.344864
8780,6094.939408
8790,1004.961872
8800,888.345136
8810,NA
8820,6369.331728
8830,1632.634304
8840,830.036768
8850,1546.886704
8860,7099.90128
8870,569.364064
8880,408.158576
8890,1605.195072
8900,3440.193712
8910,1121.578608
8920,511.055696
8930,1121.578608
3920,1207.326208
1990,NA
