SVSPP,COMNAME,SCINAME, 
052,MADEIRA LANTERNFISH,LAMPANYCTUS SP, 
053,HUMBOLDTS LANTERNFISH,MYCTOPHUM HUMBOLDTI, 
054,HORNED LANTERNFISH,CERATOSCOPELUS MADERENSIS, 
055,SPOTTED LANTERNFISH,MYCTOPHUM PUNCTATUM, 
056,LANTERNFISH UNCL,MYCTOPHIDAE, 
057,,HYGOPHUM TAANINGI, 
058,PATCHWORK LAMPFISH,NOTOSCOPELUS RESPLENDENS, 
059,,GONICHTHYS COCCOI, 
060,EEL UNCL,ANGUILLIFORMES, 
061,HEADLIGHTFISH UNCL,DIAPHUS SP, 
063,CONGER EEL,CONGER OCEANICUS, 
064,SNUBNOSE EEL,SIMENCHELYS PARASITICUS, 
065,MARGINED SNAKE EEL,OPHICHTHUS CRUENTIFER, 
066,SILVERSTRIPE HALFBEAK,HYPORHAMPHUS UNIFASCIATUS, 
067,SLENDER SNIPE EEL,NEMICHTHYS SCOLOPACEUS, 
068,FLAT NEEDLEFISH,ABLENNES HIANS, 
069,OFFSHORE HAKE,MERLUCCIUS ALBIDUS, 
070,BEARDLESS CODLING,GADELLA IMBERBIS, 
072,SILVER HAKE,MERLUCCIUS BILINEARIS, 
073,ATLANTIC COD,GADUS MORHUA, 
074,HADDOCK,MELANOGRAMMUS AEGLEFINUS, 
075,POLLOCK,POLLACHIUS VIRENS, 
076,WHITE HAKE,UROPHYCIS TENUIS, 
077,RED HAKE,UROPHYCIS CHUSS, 
078,SPOTTED HAKE,UROPHYCIS REGIA, 
079,LONGFIN HAKE,UROPHYCIS CHESTERI, 
080,HAKE UNCL,GADIDAE, 
081,BLUE HAKE,ANTIMORA ROSTRATA, 
082,METALLIC CODLING,PHYSICULUS FULVUS, 
083,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS, 
084,CUSK,BROSME BROSME, 
085,THREEBEARD ROCKLING,GAIDROPSARUS ENSIS, 
086,WHITING UNCL,MERLUCCIUS SP, 
087,LING UNCL,UROPHYCIS SP, 
088,MORA UNCL,MORIDAE, 
090,GRENADIER UNCL,MACROURIDAE, 
091,MARLIN-SPIKE,NEZUMIA BAIRDI, 
092,ROUGHHEAD GRENADIER,MACROURUS BERGLAX, 
093,LONGNOSE GRENADIER,COELORHYNCHUS CARMINATUS, 
098,DEEPWATER DAB,POECILOPSETTA BEANI, 
099,GREENLAND HALIBUT,REINHARDTIUS HIPPOGLOSSOIDES, 
100,FLOUNDER UNCL,PLEURONECTIFORMES, 
101,ATLANTIC HALIBUT,HIPPOGLOSSUS HIPPOGLOSSUS, 
102,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES, 
103,SUMMER FLOUNDER,PARALICHTHYS DENTATUS, 
104,FOURSPOT FLOUNDER,PARALICHTHYS OBLONGUS, 
105,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA, 
106,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS, 
107,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS, 
108,WINDOWPANE,SCOPHTHALMUS AQUOSUS, 
109,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS, 
110,DEEPWATER FLOUNDER,MONOLENE SESSILICAUDA, 
111,LONGSPINE SNIPEFISH,MACRORHAMPHOSUS SCOLOPAX, 
112,BUCKLER DORY,ZENOPSIS CONCHIFERA, 
113,ATLANTIC SILVERSIDE,MENIDIA MENIDIA, 
114,BLACKMOUTH BASS,SYNAGROPS BELLUS, 
115,THREESPINE STICKLEBACK,GASTEROSTEUS ACULEATUS, 
116,NORTHERN PIPEFISH,SYNGNATHUS FUSCUS, 
117,SMALLMOUTH FLOUNDER,ETROPUS MICROSTOMUS, 
118,HOGCHOKER,TRINECTES MACULATUS, 
119,TRUMPETFISH,AULOSTOMUS MACULATUS, 
120,BLUESPOTTED CORNETFISH,FISTULARIA TABACARIA, 
121,ATLANTIC MACKEREL,SCOMBER SCOMBRUS, 
123,ATLANTIC BONITO,SARDA SARDA, 
124,CHUB MACKEREL,SCOMBER JAPONICUS, 
125,WAHOO,ACANTHOCYBIUM SOLANDRI, 
126,ATLANTIC CUTLASSFISH,TRICHIURUS LEPTURUS, 
127,CONEJO,PROMETHICHTHYS PROMETHEUS, 
128,SKIPJACK TUNA,KATSUWONUS PELAMIS, 
129,BLUE RUNNER,CARANX CRYSOS, 
130,BIGSCALE POMFRET,TARATICHTHYS LONGIPINNIS, 
131,BUTTERFISH,PEPRILUS TRIACANTHUS, 
132,ATLANTIC MOONFISH,SELENE SETAPINNIS, 
133,LOOKDOWN,SELENE VOMER, 
134,BIGEYE,PRIACANTHUS ARENATUS, 
135,BLUEFISH,POMATOMUS SALTATRIX, 
136,ATLANTIC CROAKER,MICROPOGONIAS UNDULATUS, 
137,KEELCHEEK BASS,SYNAGROPS SPINOSUS, 
138,CARDINALFISH UNCL,APOGONIDAE, 
139,STRIPED BASS,MORONE SAXATILIS, 
140,WHITE PERCH,MORONE AMERICANA, 
141,BLACK SEA BASS,CENTROPRISTIS STRIATA, 
142,PIGFISH,ORTHOPRISTIS CHRYSOPTERA, 
143,SCUP,STENOTOMUS CHRYSOPS, 
144,,EPIGONUS PANDIONIS, 
145,WEAKFISH,CYNOSCION REGALIS, 
146,NORTHERN KINGFISH,MENTICIRRHUS SAXATILIS, 
147,BLACK DRUM,POGONIAS CROMIS, 
148,SILVER PERCH,BAIRDIELLA CHRYSOURA, 
149,SPOT,LEIOSTOMUS XANTHURUS, 
150,SHERBORN'S CARDINALFISH,HOWELLA SHERBORNI, 
151,TILEFISH,LOPHOLATILUS CHAMAELEONTICEPS, 
154,LONGSPINE SCORPIONFISH,PONTINUS LONGISPINIS, 
155,ACADIAN REDFISH,SEBASTES FASCIATUS, 
156,BLACKBELLY ROSEFISH,HELICOLENUS DACTYLOPTERUS, 
157,,HELICOLENUS MADERENSIS, 
158,DEEPBODY BOARFISH,ANTIGONIA CAPROS, 
159,HOOKEAR SCULPIN UNCL,ARTEDIELLUS SP, 
160,SCULPIN UNCL,COTTIDAE, 
161,MOUSTACHE SCULPIN,TRIGLOPS MURRAYI, 
162,SHORTHORN SCULPIN,MYOXOCEPHALUS SCORPIUS, 
163,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS, 
164,SEA RAVEN,HEMITRIPTERUS AMERICANUS, 
165,ALLIGATORFISH,ASPIDOPHOROIDES MONOPTERYGIUS, 
166,GRUBBY,MYOXOCEPHALUS AENAEUS, 
167,INQUILINE SNAILFISH,LIPARIS INQUILINUS, 
168,LUMPFISH,CYCLOPTERUS LUMPUS, 
169,ATLANTIC SPINY LUMPSUCKER,EUMICROTREMUS SPINOSUS, 
170,ATLANTIC SEASNAIL,LIPARIS ATLANTICUS, 
171,NORTHERN SEAROBIN,PRIONOTUS CAROLINUS, 
172,STRIPED SEAROBIN,PRIONOTUS EVOLANS, 
173,ARMORED SEAROBIN,PERISTEDION MINIATUM, 
174,SEAROBIN UNCL,TRIGLIDAE, 
175,FLYING GURNARD,DACTYLOPTERUS VOLITANS, 
176,CUNNER,TAUTOGOLABRUS ADSPERSUS, 
177,TAUTOG,TAUTOGA ONITIS, 
179,NORTHERN STARGAZER,ASTROSCOPUS GUTTATUS, 
180,ROCK GUNNEL,PHOLIS GUNNELLUS, 
181,NORTHERN SAND LANCE,AMMODYTES DUBIUS, 
182,SNAKEBLENNY,LUMPENUS LUMPRETAEFORMIS, 
183,DAUBED SHANNY,LUMPENUS MACULATUS, 
184,RADIATED SHANNY,ULVARIA SUBBIFURCATA, 
185,OYSTER TOADFISH,OPSANUS TAU, 
186,POLKA-DOT CUSK-EEL,OTOPHIDIUM OMOSTIGMUM, 
187,RED GOATFISH,MULLUS AURATUS, 
188,STRIPED CUSK-EEL,OPHIDION MARGINATUM, 
189,ARCTIC EELPOUT,LYCODES RETICULATUS, 
190,WOLF EELPOUT,LYCENCHELYS VERRILLI, 
191,WRYMOUTH,CRYPTACANTHODES MACULATUS, 
192,ATLANTIC WOLFFISH,ANARHICHAS LUPUS, 
193,OCEAN POUT,MACROZOARCES AMERICANUS, 
194,FAWN CUSK-EEL,LEPOPHIDIUM PROFUNDORUM, 
195,SMOOTH PUFFER,LAGOCEPHALUS LAEVIGATUS, 
196,NORTHERN PUFFER,SPHOEROIDES MACULATUS, 
197,GOOSEFISH,LOPHIUS AMERICANUS, 
198,STRIPED BURRFISH,CHILOMYCTERUS SCHOEPFI, 
199,ATLANTIC BATFISH,DIBRANCHUS ATLANTICUS, 
200,ATLANTIC GUITARFISH,RHINOBATOS LENTIGINOSUS, 
201,PLANEHEAD FILEFISH,MONACANTHUS HISPIDUS, 
202,GRAY TRIGGERFISH,BALISTES CAPRISCUS, 
203,GREATER AMBERJACK,SERIOLA DUMERILI, 
204,BANDED RUDDERFISH,SERIOLA ZONATA, 
205,ATLANTIC SAURY,SCOMBERESOX SAURUS, 
206,LONGNOSE BATFISH,OGCOCEPHALUS CORNIGER, 
207,BARRELFISH,HYPEROGLYPHE PERCIFORMIS, 
208,MACKEREL SCAD,DECAPTERUS MACARELLUS, 
209,BIGEYE SCAD,SELAR CRUMENOPHTHALMUS, 
210,HEADLIGHTFISH,DIAPHUS DUMERILI, 
211,ROUND SCAD,DECAPTERUS PUNCTATUS, 
212,ROUGH SCAD,TRACHURUS LATHAMI, 
213,SILVER RAG,ARIOMMA BONDI, 
215,HOUNDFISH,TYLOSURUS CROCODILUS, 
221,TONGUEFISH UNCL,SYMPHURUS SP, 
227,BLACK GEMFISH,NESIARCHUS NASUTUS, 
228,BOA DRAGONFISH,STOMIAS BOA, 
229,WEITZMANS PEARLSIDES,MAUROLICUS WEITZMANI, 
231,,CHLOROPHTHALMUS SP, 
232,SHORTNOSE GREENEYE,CHLOROPHTHALMUS AGASSIZI, 
233,,GONOSTOMA BATHYPHILUM, 
234,,GONOSTOMA ATLANTICUM, 
235,LONGTOOTH ANGLEMOUTH,GONOSTOMA ELONGATUM, 
236,,VINCIGUERRIA SP, 
237,,POLYMETME THAEOCORYLA, 
239,SIMONYS FROSTFISH,BENTHODESMUS SIMONYI, 
240,VIPERFISH,CHAULIODUS SLOANI, 
241,,CHAULIODUS DANAE, 
242,LONGNOSE GREENEYE,PARASUDIS TRUCULENTA, 
243,BLUNTNOSE SMOOTHHEAD,XENODERMICHTHYS COPEI, 
244,SLENDER LIGHTFISH,VINCIGUERRIA ATTENUATA, 
245,,PARALEPIS COREGONOIDES, 
246,WHITE BARRACUDINA,ARCTOZENUS RISSOI, 
248,SCALY DRAGONFISH UNCL,STOMIIDAE, 
249,LUMPFISH SNAILFISH UNCL,CYCLOPTERIDAE, 
250,SILVER HATCHETFISH,ARGYROPELECUS ACULEATUS, 
251,,POLYIPNUS CLARUS, 
252,HATCHETFISH UNCL,STERNOPTYCHIDAE, 
260,,CAREPROCTUS RANULA, 
261,BLACKMOUTHED ALFONSIN,HOPLOSTETHUS MEDITERRANEUS, 
262,ATLANTIC SOFT POUT,MELANOSTIGMA ATLANTICUM, 
263,BEARDFISH,POLYMIXIA LOWEI, 
264,STOUT BEARDFISH,POLYMIXIA NOBILIS, 
265,OCEAN SUNFISH,MOLA MOLA, 
266,,HOPLOSTETHUS OCCIDENTALIS, 
267,EELPOUT UNCL,ZOARCIDAE, 
268,BIG ROUGHY,GEPHYROBERYX DARWINI, 
270,COWNOSE RAY,RHINOPTERA BONASUS, 
271,SPOTTED EAGLE RAY,AETOBATIS NARINARI, 
272,MANTA,MANTA BIROSTRIS, 
274,MEXICAN SEAROBIN,PRIONOTUS PARALATUS, 
280,WESTERN SOFTHEAD GRENADIER,MALACOCEPHALUS OCCIDENTALIS, 
281,,YARELLA BLACKFORDI, 
285,PUNCTATE BLADE SHRIMP,SPIRONTOCARIS PHIPPSII, 
286,PARROT SHRIMP,SPIRONTOCARIS SPINUS, 
287,SEVENSPINE BAY SHRIMP,CRANGON SEPTEMSPINOSA, 
291,ARCTIC EUALID,EUALUS FABRICII, 
292,PINK GLASS SHRIMP,PASIPHAEA MULTIDENTATA, 
293,SPINY LEBBEID,LEBBEUS GROENLANDICUS, 
294,POLAR LEBBEID,LEBBEUS POLARIS, 
295,FRIENDLY BLADE SHRIMP,SPIRONTOCARIS LILJEBORGII, 
296,BRISTLED LONGBEAK,DICHELOPANDALUS LEPTOCERUS, 
297,AESOP SHRIMP,PANDALUS MONTAGUI, 
298,,PANDALUS PROPINQUUS, 
299,NORWEGIAN SHRIMP,PONTOPHILUS NORVEGICUS, 
300,WATER HAUL,NO FISH BUT GOOD TOW, 
301,AMERICAN LOBSTER,HOMARUS AMERICANUS, 
302,RIDGED SLIPPER LOBSTER,SCYLLARIDES NODIFER, 
303,SPANISH SLIPPER LOBSTER,SCYLLARIDES AEQUINOCTIALIS, 
304,CARIBBEAN SPINY LOBSTER,PANULIRUS ARGUS, 
305,SHRIMP UNCL,CRUSTACEA SHRIMP, 
306,NORTHERN SHRIMP,PANDALUS BOREALIS, 
307,"SHRIMP (PINK,BROWN,WHITE)",PENAEUS SP, 
308,GOLDEN DEEPSEA CRAB,GERYON FENNERI, 
309,WHITE CRAB,GERYON AFFINIS, 
310,RED DEEPSEA CRAB,GERYON QUINQUEDENS, 
311,CANCER CRAB UNCL,CANCRIDAE, 
312,JONAH CRAB,CANCER BOREALIS, 
313,ATLANTIC ROCK CRAB,CANCER IRRORATUS, 
314,BLUE CRAB,CALLINECTES SAPIDUS, 
315,CALICO CRAB UNCL,OVALIPES SP, 
316,BROWN ROCK SHRIMP,SICYONIA BREVIROSTRIS, 
317,SPIDER CRAB UNCL,MAJIDAE, 
318,HORSESHOE CRAB,LIMULUS POLYPHEMUS, 
319,GALATHEID UNCL,GALATHEIDAE, 
320,SWIMMING CRAB UNCL,PORTUNIDAE, 
321,COARSEHAND LADY CRAB,OVALIPES STEPHENSONI, 
322,LADY CRAB,OVALIPES OCELLATUS, 
323,MANTIS SHRIMP UNCL,STOMATOPODA, 
324,NORTHERN STONE CRAB,LITHODES MAJA, 
325,SNOW CRAB,CHIONOECETES OPILIO, 
326,GREEN CRAB,CARCINUS MAENAS, 
327,CALICO BOX CRAB,HEPATUS EPHELITICUS, 
328,FLAME BOX CRAB,CALAPPA FLAMMEA, 
329,YELLOW BOX CRAB,CALAPPA SULCATA, 
330,SAND DOLLAR UNCL,CLYPEASTEROIDA, 
331,SEA URCHIN AND SAND DOLLAR UNCL,ECHINOIDEA, 
332,"SEA STAR, BRITTLE STAR, AND BASKETS",STELLEROIDEA, 
333,BOREAL ASTERIAS,ASTERIAS VULGARIS, 
334,,ASTROPECTEN SP, 
335,HERMIT CRAB UNCL,PAGUROIDEA, 
336,CHANNELED WHELK,BUSYCOTYPUS CANALICULATUS, 
337,KNOBBED WHELK,BUSYCON CARICA, 
338,"MOON SNAIL, SHARK EYE, AND BABY-EAR",NATICIDAE, 
339,BOX CRAB UNCL,CALAPPIDAE, 
340,ICELAND SCALLOP,CHLAMYS ISLANDICA, 
341,ICELAND SCALLOP CLAPPER,CHLAMYS ISLANDICA CLAPPER, 
342,NORTHERN HORSEMUSSEL,MODIOLUS MODIOLUS, 
343,BLUE MUSSEL,MYTILUS EDULIS, 
344,WAVED WHELK,BUCCINUM UNDATUM, 
345,TEN-RIDGED WHELK,NEPTUNEA DECEMCOSTATA, 
346,STIMPSON'S WHELK,COLUS STIMPSONI, 
347,,NASSARIUS SP, 
348,NORTHERN MOONSNAIL,EUSPIRA HEROS, 
349,SHARK EYE,NEVERITA DUPLICATA, 
350,NURSE SHARK,GINGLYMOSTOMA CIRRATUM, 
351,WHITE SHARK,CARCHARODON CARCHARIAS, 
352,SHORTFIN MAKO,ISURUS OXYRINCHUS, 
353,PORBEAGLE SHARK,LAMNA NASUS, 
354,BLACKNOSE SHARK,CARCHARHINUS ACRONOTUS, 
355,SILKY SHARK,CARCHARHINUS FALCIFORMIS, 
356,BULL SHARK,CARCHARHINUS LEUCAS, 
357,BLACKTIP SHARK,CARCHARHINUS LIMBATUS, 
358,TIGER SHARK,GALEOCERDO CUVIER, 
359,LEMON SHARK,NEGAPRION BREVIROSTRIS, 
360,ATLANTIC SHARPNOSE SHARK,RHIZOPRIONODON TERRAENOVAE, 
361,REQUIEM SHARK UNCL,CARCHARHINIDAE, 
362,SCALLOPED HAMMERHEAD SHARK,SPHYRNA LEWINI, 
363,GREAT HAMMERHEAD SHARK,SPHYRNA MOKARRAN, 
364,BONNETHEAD SHARK,SPHYRNA TIBURO, 
365,SMALLEYE HAMMERHEAD SHARK,SPHYRNA TUDES, 
366,SMOOTH HAMMERHEAD SHARK,SPHYRNA ZYGAENA, 
367,LESSER ELECTRIC RAY,NARCINE BRASILIENSIS, 
368,OCELLATE SKATE,RAJA ACKLEYI, 
370,SPREADFIN SKATE,DIPTURUS OLSENI, 
371,SPINYTAIL SKATE,BATHYRAJA SPINICAUDA, 
372,ROUNDEL SKATE,RAJA TEXANA, 
373,ATLANTIC STINGRAY,DASYATIS SABINA, 
374,PELAGIC STINGRAY,DASYATIS VIOLACEA, 
375,SPINY BUTTERFLY RAY,GYMNURA ALTAVELA, 
376,SMOOTH BUTTERFLY RAY,GYMNURA MICRURA, 
377,YELLOW STINGRAY,UROLOPHUS JAMAICENSIS, 
378,SOUTHERN EAGLE RAY,MYLIOBATIS GOODEI, 
379,SHORTNOSE STURGEON,ACIPENSER BREVIROSTRUM, 
380,ATLANTIC STURGEON,ACIPENSER OXYRHYNCHUS, 
381,LADYFISH,ELOPS SAURUS, 
382,TARPON,MEGALOPS ATLANTICUS, 
383,BONEFISH,ALBULA VULPES, 
384,AMERICAN EEL,ANGUILLA ROSTRATA, 
385,PYGMY MORAY,ANARCHIAS SIMILIS, 
386,SPOTTED MORAY,GYMNOTHORAX MORINGA, 
387,BLACKEDGE MORAY,GYMNOTHORAX NIGROMARGINATUS, 
388,MORAY UNCL,MURAENIDAE, 
389,BANDTOOTH CONGER,ARIOSOMA BALEARICUM, 
390,CONGER EEL UNCL,CONGRIDAE, 
391,SHORTTAIL SNAKE EEL,CALLECHELYS GUINIENSIS, 
392,SAILFIN EEL,LETHARCHUS VELIFER, 
393,SPECKLED WORM EEL,MYROPHIS PUNCTATUS, 
394,SPOTTED SPOON-NOSE EEL,ECHIOPHIS INTERTINCTUS, 
395,SHRIMP EEL,OPHICHTHUS GOMESI, 
396,PALESPOTTED EEL,OPHICHTHUS PUNCTICEPS, 
397,ACADEMY EEL,APTERICHTUS ANSP, 
398,FINLESS EEL,APTERICHTUS KENDALLI, 
399,SPOON-NOSE EEL UNCL,ECHIOPHIS SP, 
400,SEA SCALLOP CLAPPER,PLACOPECTEN MAGELLANICUS CLAPPER, 
401,SEA SCALLOP,PLACOPECTEN MAGELLANICUS, 
402,BAY SCALLOP,ARGOPECTEN IRRADIANS, 
403,ATLANTIC SURFCLAM,SPISULA SOLIDISSIMA, 
404,ATLANTIC CALICO SCALLOP,ARGOPECTEN GIBBUS, 
405,DUCK-BILL SHELL UNCL,THRACIA SP, 
406,ATLANTIC SURFCLAM CLAPPER,SPISULA SOLIDISSIMA CLAPPER, 
407,ARCTIC SURFCLAM,MACTROMERIS POLYNYMA, 
408,ARCTIC SURFCLAM CLAPPER,MACTROMERIS POLYNYMA CLAPPER, 
409,OCEAN QUAHOG,ARCTICA ISLANDICA, 
410,OCEAN QUAHOG CLAPPER,ARCTICA ISLANDICA CLAPPER, 
411,SOUTHERN QUAHOG,MERCENARIA CAMPECHIENSIS, 
412,SOUTHERN QUAHOG CLAPPER,MERCENARIA CAMPECHIENSIS CLAPPER, 
413,NORTHERN QUAHOG,MERCENARIA MERCENARIA, 
414,NORTHERN QUAHOG CLAPPER,MERCENARIA MERCENARIA CLAPPER, 
415,FALSE QUAHOG,PITAR MORRHUANUS, 
416,RAZOR AND JACKKNIFE CLAM UNCL,SOLENIDAE, 
417,NORTHERN PROPELLER CLAM,CYRTODARIA SILIQUA, 
418,GREENLAND COCKLE,SERRIPES GROENLANDICUS, 
419,NORTHERN CYCLOCARDIA,CYCLOCARDIA BOREALIS, 
420,SMOOTH ASTARTE,ASTARTE CASTANEA, 
421,PIPEFISH SEAHORSE UNCL,SYNGNATHIDAE, 
422,BOARFISH UNCL,CAPROIDAE, 
423,SILVERSIDE UNCL,ATHERINIDAE, 
425,SNAKE EEL UNCL,OPHICHTHIDAE, 
426,GIZZARD SHAD,DOROSOMA CEPEDIANUM, 
427,DWARF HERRING,JENKINSIA LAMPROTAENIA, 
428,ATLANTIC THREAD HERRING,OPISTHONEMA OGLINUM, 
429,SPANISH SARDINE,SARDINELLA AURITA, 
430,FLAT ANCHOVY,ANCHOVIELLA PERFASCIATA, 
431,RAINBOW TROUT,ONCORHYNCHUS MYKISS, 
432,BROWN TROUT,SALMO TRUTTA, 
433,LARGESCALE LIZARDFISH,SAURIDA BRASILIENSIS, 
434,SHORTJAW LIZARDFISH,SAURIDA NORMANI, 
435,INSHORE LIZARDFISH,SYNODUS FOETENS, 
436,SAND DIVER,SYNODUS INTERMEDIUS, 
437,OFFSHORE LIZARDFISH,SYNODUS POEYI, 
438,RED LIZARDFISH,SYNODUS SYNODUS, 
439,SNAKEFISH,TRACHINOCEPHALUS MYOPS, 
440,LONGNOSE LANCETFISH,ALEPISAURUS FEROX, 
441,HARDHEAD CATFISH,ARIUS FELIS, 
442,GAFFTOPSAIL CATFISH,BAGRE MARINUS, 
443,LEOPARD TOADFISH,OPSANUS PARDUS, 
444,ATLANTIC MIDSHIPMAN,PORICHTHYS PLECTRODON, 
445,OCELLATED FROGFISH,ANTENNARIUS OCELLATUS, 
446,SINGLESPOT FROGFISH,ANTENNARIUS RADIOSUS, 
447,STRIATED FROGFISH,ANTENNARIUS STRIATUS, 
448,SARGASSUMFISH,HISTRIO HISTRIO, 
449,PANCAKE BATFISH,HALIEUTICHTHYS ACULEATUS, 
450,SHORTNOSE BATFISH,OGCOCEPHALUS NASUTUS, 
451,ROUGHBACK BATFISH,OGCOCEPHALUS PARVUS, 
452,BATFISH UNCL,OGCOCEPHALIDAE, 
453,ATLANTIC TOMCOD,MICROGADUS TOMCOD, 
454,CAROLINA HAKE,UROPHYCIS EARLLI, 
455,SOUTHERN HAKE,UROPHYCIS FLORIDANA, 
456,BEARDED BROTULA,BROTULA BARBATA, 
457,MOTTLED CUSK-EEL,LEPOPHIDIUM JEANNAE, 
458,BLOTCHED CUSK-EEL,OPHIDION GRAYI, 
459,BANK CUSK-EEL,OPHIDION HOLBROOKI, 
460,CRESTED CUSK-EEL,OPHIDION WELSHI, 
461,CUSK-EEL UNCL,OPHIDIIDAE, 
462,PEARLFISH,CARAPUS BERMUDENSIS, 
463,MARGINED FLYINGFISH,CYPSELURUS CYANOPTERUS, 
464,SPOTFIN FLYINGFISH,CYPSELURUS FURCATUS, 
465,ATLANTIC FLYINGFISH,CYPSELURUS MELANURUS, 
466,FLYING HALFBEAK,EULEPTORHAMPHUS VELOX, 
467,OCEANIC TWO-WING FLYINGFISH,EXOCOETUS OBTUSIROSTRIS, 
468,BALLYHOO,HEMIRAMPHUS BRASILIENSIS, 
469,FOURWING FLYINGFISH,HIRUNDICHTHYS AFFINIS, 
470,BLUNTNOSE FLYINGFISH,PROGNICHTHYS GIBBIFRONS, 
471,ATLANTIC NEEDLEFISH,STRONGYLURA MARINA, 
472,SHEEPSHEAD MINNOW,CYPRINODON VARIEGATUS, 
473,MUMMICHOG,FUNDULUS HETEROCLITUS, 
474,STRIPED KILLIFISH,FUNDULUS MAJALIS, 
475,ROUGH SILVERSIDE,MEMBRAS MARTINICA, 
476,TIDEWATER SILVERSIDE,MENIDIA BERYLLINA, 
477,SPINYCHEEK SOLDIERFISH,CORNIGER SPINOSUS, 
478,SQUIRRELFISH,HOLOCENTRUS ADSCENSIONIS, 
479,DEEPWATER SQUIRRELFISH,SARGOCENTRON BULLISI, 
480,LONGSPINE SQUIRRELFISH,HOLOCENTRUS RUFUS, 
481,DUSKY SQUIRRELFISH,SARGOCENTRON VEXILLARIUS, 
482,BLACKBAR SOLDIERFISH,MYRIPRISTIS JACOBUS, 
483,BIGEYE SOLDIERFISH,OSTICHTHYS TRACHYPOMA, 
484,CARDINAL SOLDIERFISH,PLECTRYPOPS RETROSPINIS, 
485,SQUIRRELFISH UNCL,HOLOCENTRIDAE, 
486,SHORTSPINE BOARFISH,ANTIGONIA COMBATIA, 
487,UNICORNFISH,EUMECICHTHYS FISKI, 
488,FOURSPINE STICKLEBACK,APELTES QUADRACUS, 
489,RED CORNETFISH,FISTULARIA PETIMBA, 
490,CORNETFISH UNCL,FISTULARIA SP, 
491,WHITENOSE PIPEFISH,COSMOCAMPUS ALBIROSTRIS, 
492,LINED SEAHORSE,HIPPOCAMPUS ERECTUS, 
493,LONGSNOUT SEAHORSE,HIPPOCAMPUS REIDI, 
494,DUSKY PIPEFISH,SYNGNATHUS FLORIDAE, 
495,CHAIN PIPEFISH,SYNGNATHUS LOUISIANAE, 
496,BULL PIPEFISH,SYNGNATHUS SPRINGERI, 
