SVSPP,Common Name,Scientific Name,GF,DEM,EL,PEL,INV,COM,NC
112,Buckler dory,Zenopsis conchifera,,,,X,,,X
113,Atlantic silverside,Menidia menidia,,,,X,,,X
114,BLACKMOUTH BASS,SYNAGROPS BELLUS,,,,,,,
115,Threespine stickleback,Gasterosteus aculeatus,,,,X,,,X
116,Northern pipefish,Syngnathus fuscus,,X,,,,,X
117,Smallmouth flounder,Etropus microstomus,X,,,,,,X
118,HOGCHOKER,TRINECTES MACULATUS,,,,,,,
119,TRUMPETFISH,AULOSTOMUS MACULATUS,,,,,,,
120,Bluespotted cornetfish,Fistularia tabacaria,,,,X,,,X
121,Atlantic mackerel,Scomber scombrus,,,,X,,,X
122,,,,,,,,,
123,Atlantic bonito,Sarda sarda,,,,X,,,X
124,Chub mackerel,Scomber japonicus,,,,X,,,X
126,Atlantic cutlassfish,Trichiurus lepturus,,X,,,,,X
127,CONEJO,PROMETHICHTHYS PROMETHEUS,,,,,,,
129,Blue runner,Caranx crysos,,,,X,,,X
131,Butterfish,Peprilus triacanthus,,,,X,,,X
132,Atlantic moonfish,Selene setapinnis,,,,X,,,X
133,Lookdown,Selene vomer,,,,X,,,X
134,Bigeye,Priacanthus arenatus,,X,,,,,X
135,Bluefish,Pomatomus saltatrix,,,,X,,X,
136,Atlantic croaker,Micropogonias undulatus,,X,,,,X,
137,KEELCHEEK BASS,SYNAGROPS SPINOSUS,,,,,,,
138,CARDINALFISH UNCL,APOGONIDAE,,X,,,,,X
139,Striped bass,Morone saxatilis,,,,X,,X,
141,Black sea bass,Centropristis striata,,X,,,,X,
142,Pigfish,Orthopristis chrysoptera,,X,,,,,X
143,Scup,Stenotomus chrysops,,X,,,,X,
144,Bigeye,Epigonus pandionis,,X,,,,,X
145,WEAKFISH,CYNOSCION REGALIS,,,,,,,
146,NORTHERN KINGFISH,MENTICIRRHUS SAXATILIS,,,,,,,
148,SILVER PERCH,BAIRDIELLA CHRYSOURA,,,,,,,
149,SPOT,LEIOSTOMUS XANTHURUS,,,,,,,
150,SHERBORN'S CARDINALFISH,HOWELLA SHERBORNI,,,,,,,
151,Tilefish,Lopholatilus chamaeleonticeps,,X,,,,,X
153,,,,,,,,,
154,LONGSPINE SCORPIONFISH,PONTINUS LONGISPINIS,,,,,,,
155,Acadian redfish,Sebastes fasciatus,,X,,,,,X
156,Blackbelly rosefish,Helicolenus dactylopterus,,X,,,,,X
158,Deepbody boarfish,Antigonia capros,,X,,,,,X
159,Hookear sculpin (unclassified),Artediellus sp.,,X,,,,,X
160,Sculpin (unclassified),Cottidae,,X,,,,,X
161,Moustache sculpin,Triglops murrayi,,X,,,,,X
162,Shorthorn sculpin,Myoxocephalus scorpius,,X,,,,,X
163,Longhorn sculpin,Myoxocephalus octodecemspinosus,,X,,,,,X
164,Sea raven,Hemitripterus americanus,,X,,,,,X
165,Alligatorfish,Aspidophoroides monopterygius,,X,,,,,X
166,Grubby,Myoxocephalus aenaeus,,X,,,,,X
167,Inquiline snailfish,Liparis inquilinus,,X,,,,,X
168,Lumpfish,Cyclopterus lumpus,,X,,,,,X
169,Atlantic spiny lumpsucker,Eumicrotremus spinosus,,X,,,,,X
170,Atlantic seasnail,Liparis atlanticus,,X,,,,,X
171,Northern searobin,Prionotus carolinus,,X,,,,,X
172,Striped searobin,Prionotus evolans,,X,,,,,X
173,Armored searobin,Peristedion miniatum,,X,,,,,X
174,Searobin (unclassified),Triglidae,,X,,,,,X
175,Flying gurnard,Dactylopterus volitans,,X,,,,,X
176,Cunner,Tautogolabrus adspersus,,X,,,,,X
177,Tautog,Tautoga onitis,,X,,,,X,
178,,,,,,,,,
179,NORTHERN STARGAZER,ASTROSCOPUS GUTTATUS,,,,,,,
180,Rock gunnel,Pholis gunnellus,,X,,,,,X
181,Northern sand lance,Ammodytes dubius,,X,,,,,X
182,Snakeblenny,Lumpenus lumpretaeformis,,X,,,,,X
183,Daubed shanny,Lumpenus maculatus,,X,,,,,X
184,Radiated shanny,Ulvaria subbifurcata,,X,,,,,X
185,Oyster toadfish,Opsanus tau,,X,,,,,X
186,POLKA-DOT CUSK-EEL,OTOPHIDIUM OMOSTIGMUM,,,,,,,
187,RED GOATFISH,MULLUS AURATUS,,,,,,,
188,Striped cusk-eel,Ophidion marginatum,,X,,,,,X
189,ARCTIC EELPOUT,LYCODES RETICULATUS,,,,,,,
190,Wolf eelpout,Lycenchelys verrilli,,X,,,,,X
191,Wrymouth,Cryptacanthodes maculatus,,X,,,,,X
192,Atlantic wolffish,Anarhichas lupus,,X,,,,,X
193,Ocean pout,Macrozoarces americanus,,X,,,,X,
194,Fawn cusk-eel,Lepophidium profundorum,,X,,,,,X
195,SMOOTH PUFFER,LAGOCEPHALUS LAEVIGATUS,,,,,,,
196,Smooth puffer,Lagocephalus laevigatus,,X,,,,,X
197,Goosefish,Lophius americanus,,X,,,,X,
198,STRIPED BURRFISH,CHILOMYCTERUS SCHOEPFI,,,,,,,
199,Atlantic batfish,Dibranchus atlanticus,,X,,,,,X
201,Planehead filefish,Monacanthus hispidus,,X,,,,,X
202,Gray triggerfish,Balistes capriscus,,X,,,,,X
203,GREATER AMBERJACK,SERIOLA DUMERILI,,,,,,,
204,Banded rudderfish,Seriola zonata,,,,X,,,X
205,Atlantic saury,Scomberesox saurus,,,,X,,,X
206,Longnose batfish,Ogcocephalus corniger,,X,,,,,X
207,Barrelfish,Hyperoglyphe perciformis,,,,X,,,X
208,Mackerel scad,Decapterus macarellus,,,,X,,,X
209,Bigeye scad,Selar crumenophthalmus,,,,X,,,X
210,HEADLIGHTFISH,DIAPHUS DUMERILI,,,,,,,
211,Round scad,Decapterus punctatus,,X,,,,,X
212,Rough scad,Trachurus lathami,,,,X,,,X
213,Silver rag,Ariomma bondi,,X,,,,,X
215,HOUNDFISH,TYLOSURUS CROCODILUS,,,,,,,
221,Tonguefish (unclassified),Symphurus sp.,,X,,,,,X
227,BLACK GEMFISH,NESIARCHUS NASUTUS,,,,,,,
228,Boa dragonfish,Stomias boa,,,,X,,,X
229,Weitzman's pearlsides,Maurolicus weitzmani,,X,,,,,X
230,,,,,,,,,
231,0,CHLOROPHTHALMUS SP,,,,,,,
232,Shortnose greeneye,Chloropthalmus agassizi,,X,,,,,X
234,0,GONOSTOMA ATLANTICUM,,,,,,,
235,LONGTOOTH ANGLEMOUTH,GONOSTOMA ELONGATUM,,,,,,,
236,0,VINCIGUERRIA SP,,,,,,,
237,,Polymetme thaeocoryla,,X,,,,,X
239,Simony's frostfish,Benthodesmus simonyi,,,,,,,X
240,Viperfish,Chauliodus sloani,,,,X,,,X
241,0,CHAULIODUS DANAE,,,,,,,
242,Longnose greeneye,Parasudis truculenta,,X,,,,,X
245,Sharpnose barracudina,Paralepis coregonoides,,,,X,,,X
246,White barracudina,Arctozenus rissoi,,,,X,,,X
248,Scaly dragonfish (unclassified),Stomiidae,,,,X,,,X
249,LUMPFISH SNAILFISH UNCL,CYCLOPTERIDAE,,,,,,,
250,SILVER HATCHETFISH,ARGYROPELECUS ACULEATUS,,,,,,,
251,Slope hatchetfish,Polyipnus clarus,,,,X,,,X
252,Hatchetfish (unclassified),Sternoptychidae,,,,X,,,X
253,,,,,,,,,
260,0,CAREPROCTUS RANULA,,,,,,,
261,BLACKMOUTHED ALFONSIN,HOPLOSTETHUS MEDITERRANEUS,,,,,,,
262,Atlantic soft pout,Melanostigma atlanticum,,,,X,,,X
263,Beardfish,Polymixia lowei,,X,,,,,X
264,Stout beardfish,Polymixia nobilis,,X,,,,,X
265,OCEAN SUNFISH,MOLA MOLA,,,,,,,
266,0,HOPLOSTETHUS OCCIDENTALIS,,,,,,,
267,Eelpout (unclassified),Zoarchidae,,X,,,,,X
268,BIG ROUGHY,GEPHYROBERYX DARWINI,,,,,,,
270,COWNOSE RAY,RHINOPTERA BONASUS,,,,,,,
271,SPOTTED EAGLE RAY,AETOBATIS NARINARI,,,,,,,
272,MANTA,MANTA BIROSTRIS,,,,,,,
280,Western softhead grenadier,Malacocephalus occidentalis,,X,,,,,X
300,WATER HAUL,NO FISH BUT GOOD TOW,,,,,X,,
301,American lobster,Homerus americanus,,,,,X,X,
302,Ridged slipper lobster,Scyllarides nodifer,,,,,X,,X
303,SPANISH SLIPPER LOBSTER,SCYLLARIDES AEQUINOCTIALIS,,,,,X,,
305,Shrimp (unclassified),Crustacea shrimp,,,,,X,,X
306,NORTHERN SHRIMP,PANDALUS BOREALIS,,,,,X,,
308,GOLDEN DEEPSEA CRAB,GERYON FENNERI,,,,,X,,
310,Red deepsea crab,Geryon quinquedens,,,,,X,X,
311,Cancer crab (unclassified),Cancridae,,,,,X,,X
312,Jonah crab,Cancer borealis,,,,,X,,X
313,Atlantic rock crab,Cancer irroratus,,,,,X,,X
314,BLUE CRAB,CALLINECTES SAPIDUS,,,,,X,,
317,Spider crab (unclassified),Majidae,,,,,X,,X
318,HORSESHOE CRAB,LIMULUS POLYPHEMUS,,,,,X,,
319,Galatheid (unclassified),Galatheidae,,,,,X,,X
320,Swimming crab (unclassified),Portunidae,,,,,X,,X
321,Coarsehand lady crab,Ovalipes stephensoni,,,,,X,,X
322,Lady crab,Ovalipes ocellatus,,,,,X,,X
323,MANTIS SHRIMP UNCL,STOMATOPODA,,,,,X,,
324,Northern stone crab,Lithodes maja,,,,,X,,X
325,Snow crab,Chionoecetes opilio,,,,,X,,X
326,GREEN CRAB,CARCINUS MAENAS,,,,,X,,
328,FLAME BOX CRAB,CALAPPA FLAMMEA,,,,,X,,
330,Sand dollar (unclassified),Clypeasteroida,,,,,X,,X
331,Sea urchin and sand dollar (unclassified),Echinoidea,,,,,X,,X
332,"Sea star, brittle star, and baskets",Stelleroidea,,,,,X,,X
335,Hermit crab (unclassified),Paguroidea,,,,,X,,X
338,"Moon snail, shark eye, and baby-ear",Naticidae,,,,,X,,X
339,BOX CRAB UNCL,CALAPPIDAE,,,,,X,,
340,Iceland scallop,Chlamys islandica,,,,,X,,X
341,ICELAND SCALLOP CLAPPER,CHLAMYS ISLANDICA CLAPPER,,,,,X,,
342,Northern horsemussel,Modiolus modiolus,,,,,X,,X
352,SHORTFIN MAKO,ISURUS OXYRINCHUS,,,,,,,
355,SILKY SHARK,CARCHARHINUS FALCIFORMIS,,,,,,,
360,ATLANTIC SHARPNOSE SHARK,RHIZOPRIONODON TERRAENOVAE,,,,,,,
362,SCALLOPED HAMMERHEAD SHARK,SPHYRNA LEWINI,,,,,,,
375,SPINY BUTTERFLY RAY,GYMNURA ALTAVELA,,,,,,,
376,SMOOTH BUTTERFLY RAY,GYMNURA MICRURA,,,,,,,
378,SOUTHERN EAGLE RAY,MYLIOBATIS GOODEI,,,,,,,
380,ATLANTIC STURGEON,ACIPENSER OXYRHYNCHUS,,,,,,,
384,American eel,Anguilla rostrata,,X,,,,X,
389,BANDTOOTH CONGER,ARIOSOMA BALEARICUM,,,,,,,
390,Conger eel (unclassified),Congridae,,X,,,,,X
396,PALESPOTTED EEL,OPHICHTHUS PUNCTICEPS,,,,,,,
399,SPOON-NOSE EEL UNCL,ECHIOPHIS SP,,,,,,,
400,Sea scallop clapper,Placopecten magellanicus (clapper),,,,,X,,X
401,Sea scallop,Placopecten magellanicus,,,,,X,X,
403,Atlantic surfclam,Spisula solidissima,,,,,X,,X
404,ATLANTIC CALICO SCALLOP,ARGOPECTEN GIBBUS,,,,,X,,
409,OCEAN QUAHOG,ARCTICA ISLANDICA,,,,,X,,
421,Pipefish (unclassified),Syngnathidae,,,,X,,,X
422,BOARFISH UNCL,CAPROIDAE,,,,,,,
423,SILVERSIDE UNCL,ATHERINIDAE,,,,,,,
424,,,,,,,,,
425,Snake eel (unclassified),Ophichthidae,,X,,,,,X
428,ATLANTIC THREAD HERRING,OPISTHONEMA OGLINUM,,,,,,,
429,SPANISH SARDINE,SARDINELLA AURITA,,,,,,,
434,SHORTJAW LIZARDFISH,SAURIDA NORMANI,,,,,,,
435,INSHORE LIZARDFISH,SYNODUS FOETENS,,,,,,,
436,SAND DIVER,SYNODUS INTERMEDIUS,,,,,,,
437,OFFSHORE LIZARDFISH,SYNODUS POEYI,,,,,,,
439,SNAKEFISH,TRACHINOCEPHALUS MYOPS,,,,,,,
440,LONGNOSE LANCETFISH,ALEPISAURUS FEROX,,,,,,,
445,OCELLATED FROGFISH,ANTENNARIUS OCELLATUS,,,,,,,
446,SINGLESPOT FROGFISH,ANTENNARIUS RADIOSUS,,,,,,,
449,PANCAKE BATFISH,HALIEUTICHTHYS ACULEATUS,,,,,,,
450,Shortnose batfish,Ogcocephalus nasutus,,X,,,,,X
451,ROUGHBACK BATFISH,OGCOCEPHALUS PARVUS,,,,,,,
452,Batfish (unclassified),Ogcocephalidae,,X,,,,,X
454,Carolina hake,Urophycis earlli,X,,,,,,X
455,SOUTHERN HAKE,UROPHYCIS FLORIDANA,,,,,,,
458,BLOTCHED CUSK-EEL,OPHIDION GRAYI,,,,,,,
459,BANK CUSK-EEL,OPHIDION HOLBROOKI,,,,,,,
461,Cusk-eel (unclassified),Ophidiidae,,X,,,,,X
462,PEARLFISH,CARAPUS BERMUDENSIS,,,,,,,
463,MARGINED FLYINGFISH,CYPSELURUS CYANOPTERUS,,,,,,,
466,Flying halfbeak,Euleptorhamphus velox,,,,X,,,X
484,CARDINAL SOLDIERFISH,PLECTRYPOPS RETROSPINIS,,,,,,,
486,SHORTSPINE BOARFISH,ANTIGONIA COMBATIA,,,,,,,
488,Fourspine stickleback,Apeltes quadricus,,X,,,,,X
489,Red cornetfish,Fistularia petimba,,X,,,,,X
490,CORNETFISH UNCL,FISTULARIA SP,,,,,,,
492,LINED SEAHORSE,HIPPOCAMPUS ERECTUS,,,,,,,
493,LONGSNOUT SEAHORSE,HIPPOCAMPUS REIDI,,,,,,,
500,YELLOWFIN BASS,ANTHIAS NICHOLSI,,,,,,,
501,"Squid, cuttlefish, and octopod (unclassified)",Cephalopoda,,,,,X,,X
502,Northern shortfin squid,Illex illecebrosus,,,,,X,X,
503,Longfin squid,Loligo pealeii,,,,,X,X,
504,Atlantic brief squid,Lolliguncula brevis,,,,,X,,X
505,ARROW SQUID,LOLIGO PLEII,,,,,X,,
506,Bobtail (unclassified),Sepiolidae,,,,,X,,X
507,Lesser shining bobtail,Semirossia tenera,,,,,X,,X
508,Shield bobtail,Stoloteuthis leucoptera,,,,,X,,X
509,RUPPELL'S ABRALIA,ABRALIA VERANYI,,,,,X,,
510,Octopus (unclassified),Octopoda,,,,,X,,X
511,Common octopus,Octopus vulgaris,,,,,X,,X
512,Spoonarm octopus,Bathypolypus arcticus,,,,,X,,X
516,BLOTCHED SWIMMING CRAB,PORTUNUS SPINIMANUS,,,,,X,,
517,Bathyal swimming crab,Bathynectes longispina,,,,,X,,X
518,Speckled swimming crab,Arenaeus cribrarius,,,,,X,,X
526,Bank sea bass,Centropristis ocyurus,,,,,,,X
527,ROCK SEA BASS,CENTROPRISTIS PHILADELPHICA,,,,,,,
529,DWARF SAND PERCH,DIPLECTRUM BIVITTATUM,,,,,,,
530,SAND PERCH,DIPLECTRUM FORMOSUM,,,,,,,
536,WARSAW GROUPER,EPINEPHELUS NIGRITUS,,,,,,,
537,SNOWY GROUPER,EPINEPHELUS NIVEATUS,,,,,,,
539,RED BARBIER,HEMANTHIAS VIVANUS,,,,,,,
541,GAG,MYCTEROPERCA MICROLEPIS,,,,,,,
546,STREAMER BASS,HEMANTHIAS AUREORUBENS,,,,,,,
549,BLACKEAR BASS,SERRANUS ATROBRANCHUS,,,,,,,
552,TATTLER,SERRANUS PHOEBE,,,,,,,
554,SEA BASS UNCL,SERRANIDAE,,,,,,,
556,Glasseye snapper,Priacanthus cruentatus,,X,,,,,X
557,Short bigeye,Pristigenys alta,,X,,,,,X
559,Twospot cardinalfish,Apogon pseudomaculatus,,X,,,,,X
560,,,,,,,,,
561,,,,,,,,,
562,BLACKLINE TILEFISH,CAULOLATILUS CYANOPS,,,,,,,
563,COBIA,RACHYCENTRON CANADUM,,,,,,,
567,REMORA,REMORA REMORA,,,,,,,
568,AFRICAN POMPANO,ALECTIS CILIARIS,,,,,,,
569,YELLOW JACK,CARANX BARTHOLOMAEI,,,,,,,
571,HORSE-EYE JACK,CARANX LATUS,,,,,,,
573,ATLANTIC BUMPER,CHLOROSCOMBRUS CHRYSURUS,,,,,,,
576,Pilotfish,Naucrates ductor,,,,X,,,X
578,ALMACO JACK,SERIOLA RIVOLIANA,,,,,,,
582,Jack pompano (unclassified),Carangidae,,,,X,,,X
584,DOLPHIN,CORYPHAENA HIPPURUS,,,,,,,
592,LANE SNAPPER,LUTJANUS SYNAGRIS,,,,,,,
595,WENCHMAN,PRISTIPOMOIDES AQUILONARIS,,,,,,,
596,Vermillion snapper,Rhomboplites aurorubens,,X,,,,,X
597,Snapper (unclassified),Lutjanidae,,X,,,,,X
599,Silver jenny,Eucinostomus gula,,X,,,,,X
600,,SQUALIDAE,,,,,,,
601,BROADBAND DOGFISH,ETMOPTERUS GRACILISPINIS,,,,,,,
604,GLADIATOR BOX CRAB,ACANTHOCARPUS ALEXANDRI,,,,,,,
616,Bulleye,Cookeolus japonicus,,X,,,,,X
617,SPOTTED TINSELFISH,XENOLEPIDICHTHYS DALGLEISHI,,,,,,,
620,Barracuda (unclassified),Sphyraena sp.,,,,X,,,X
621,BLUELINE TILEFISH,CAULOLATILUS MICROPS,,,,,,,
622,GOLDFACE TILEFISH,CAULOLATILUS CHRYSOPS,,,,,,,
625,MOJARRA UNCL,GERREIDAE,,,,,,,
630,GRUNT UNCL,HAEMULIDAE,,,,,,,
631,Sheepshead,Archosargus probatocephalus,,,,X,,,X
634,WHITEBONE PORGY,CALAMUS LEUCOSTEUS,,,,,,,
640,PINFISH,LAGODON RHOMBOIDES,,,,,,,
641,RED PORGY,PAGRUS SEDECIM,,,,,,,
642,Scup,Stenotomus caprinus,,X,,,,,X
643,PORGY AND PINFISH UNCL,SPARIDAE,,,,,,,
650,CUBBYU,EQUETUS UMBROSUS,,,,,,,
651,BANDED DRUM,LARIMUS FASCIATUS,,,,,,,
652,SOUTHERN KINGFISH,MENTICIRRHUS AMERICANUS,,,,,,,
654,RED DRUM,SCIAENOPS OCELLATUS,,,,,,,
657,DWARF GOATFISH,UPENEUS PARVUS,,,,,,,
659,ATLANTIC SPADEFISH,CHAETODIPTERUS FABER,,,,,,,
662,SPOTFIN BUTTERFLYFISH,CHAETODON OCELLATUS,,,,,,,
667,ROCK BEAUTY,HOLACANTHUS TRICOLOR,,,,,,,
682,HOGFISH,LACHNOLAIMUS MAXIMUS,,,,,,,
694,Northern sennet,Sphyraena borealis,,,,,,,X
698,GOBY FLATHEAD,BEMBROPS GOBIOIDES,,,,,,,
699,SOUTHERN STARGAZER,ASTROSCOPUS Y-GRAECUM,,,,,,,
700,SWORDFISH,XIPHIAS GLADIUS,,,,,,,
703,ALBACORE,THUNNUS ALALUNGA,,,,,,,
725,FRECKLED STARGAZER,XENOCEPHALUS EGREGIUS,,,,,,,
726,LANCER STARGAZER,KATHETOSTOMA ALBIGUTTA,,,,,,,
733,Combtooth blenny (unclassified),Blenniidae,,X,,,,,X
734,American sand lance,Ammodytes americanus,,X,,,,,X
735,Spotfin dragonet,Foetorepus agassizi,,X,,,,,X
738,NAKED GOBY,GOBIOSOMA BOSC,,,,,,,
739,GOBY UNCL,GOBIIDAE,,,,,,,
744,KING MACKEREL,SCOMBEROMORUS CAVALLA,,,,,,,
745,SPANISH MACKEREL,SCOMBEROMORUS MACULATUS,,,,,,,
748,Spotted driftfish,Ariomma regulus,,X,,,,,X
750,Butterfish (unclassified),Stromateidae,,,,X,,,X
751,SPINYCHEEK SCORPIONFISH,NEOMERINTHE HEMINGWAYI,,,,,,,
752,HIGHFIN SCORPIONFISH,PONTINUS RATHBUNI,,,,,,,
753,LONGFIN SCORPIONFISH,SCORPAENA AGASSIZI,,,,,,,
755,SMOOTHHEAD SCORPIONFISH,SCORPAENA CALCARATA,,,,,,,
756,HUNCHBACK SCORPIONFISH,SCORPAENA DISPAR,,,,,,,
759,Scorpionfish (unclassified),Scorpaenidae,,X,,,,,X
760,SHORTFIN SEAROBIN,BELLATOR BRACHYCHIR,,,,,,,
762,HORNED SEAROBIN,BELLATOR MILITARIS,,,,,,,
763,SLENDER SEAROBIN,PERISTEDION GRACILE,,,,,,,
764,SPINY SEAROBIN,PRIONOTUS ALATUS,,,,,,,
765,BANDTAIL SEAROBIN,PRIONOTUS OPHRYAS,,,,,,,
768,BLACKWING SEAROBIN,PRIONOTUS RUBIO,,,,,,,
769,LEOPARD SEAROBIN,PRIONOTUS SCITULUS,,,,,,,
770,BIGHEAD SEAROBIN,PRIONOTUS TRIBULUS,,,,,,,
773,Righteye flounder (unclassified),Pleuronectidae,X,,,,,,X
774,THREE-EYE FLOUNDER,ANCYLOPSETTA DILECTA,,,,,,,
780,HORNED WHIFF,CITHARICHTHYS CORNUTUS,,,,,,,
781,SPOTTED WHIFF,CITHARICHTHYS MACROPS,,,,,,,
783,SPOTFIN FLOUNDER,CYCLOPSETTA FIMBRIATA,,,,,,,
785,FRINGED FLOUNDER,ETROPUS CROSSOTUS,,,,,,,
786,GRAY FLOUNDER,ETROPUS RIMOSUS,,,,,,,
788,GULF FLOUNDER,PARALICHTHYS ALBIGUTTA,,,,,,,
789,SOUTHERN FLOUNDER,PARALICHTHYS LETHOSTIGMA,,,,,,,
790,BROAD FLOUNDER,PARALICHTHYS SQUAMILENTUS,,,,,,,
793,DUSKY FLOUNDER,SYACIUM PAPILLOSUM,,,,,,,
794,ETROPUS UNCL,ETROPUS SP,,,,,,,
795,Lefteye flounder (unclassified),Bothidae,X,,,,,,X
797,Offshore tonguefish,Symphurus civitatus,,X,,,,,X
798,Spottedfin tonguefish,Symphurus diomedianus,,X,,,,,X
820,"Triggerfish, filefish (unclassified)",Balistidae,,,,X,,,X
