"","spp","Year","Season","Season_Year","Lat","Lon","Response","Swept","PredTF"
"117","Yellowtail",7,"SPRING","SPRING_1987",40.116667,-68.666667,0,0.0384,FALSE
"118","Yellowtail",7,"SPRING","SPRING_1987",41.283333,-66.466667,0,0.0384,FALSE
"119","Yellowtail",7,"SPRING","SPRING_1987",42.016667,-66.35,0,0.0384,FALSE
"120","Yellowtail",7,"SPRING","SPRING_1987",41.75,-66.583333,1.5,0.0384,FALSE
"121","Yellowtail",7,"SPRING","SPRING_1987",41.3,-66.616667,0,0.0384,FALSE
"122","Yellowtail",7,"SPRING","SPRING_1987",42,-66.983333,0,0.0384,FALSE
"123","Yellowtail",7,"SPRING","SPRING_1987",41.683333,-65.933333,0,0.0384,FALSE
"124","Yellowtail",7,"SPRING","SPRING_1987",41.366667,-66.683333,0.5,0.0384,FALSE
"125","Yellowtail",7,"SPRING","SPRING_1987",41.833333,-66.216667,1.8,0.0384,FALSE
"126","Yellowtail",7,"SPRING","SPRING_1987",41.633333,-66.983333,3.5,0.0384,FALSE
"127","Yellowtail",7,"SPRING","SPRING_1987",41.1,-67.016667,0,0.0384,FALSE
"128","Yellowtail",7,"SPRING","SPRING_1987",41.3,-66.266667,0,0.0384,FALSE
"129","Yellowtail",7,"SPRING","SPRING_1987",41.566667,-65.95,0,0.0384,FALSE
"130","Yellowtail",7,"SPRING","SPRING_1987",41.816667,-65.866667,0,0.0384,FALSE
"131","Yellowtail",7,"SPRING","SPRING_1987",40.966667,-66.516667,0,0.0384,FALSE
"132","Yellowtail",7,"SPRING","SPRING_1987",41.233333,-66.25,0,0.0384,FALSE
"133","Yellowtail",7,"SPRING","SPRING_1987",40.983333,-66.466667,0,0.0384,FALSE
"134","Yellowtail",7,"SPRING","SPRING_1987",41.6,-65.916667,0,0.0384,FALSE
"135","Yellowtail",7,"SPRING","SPRING_1987",41.15,-68.116667,2.2,0.0384,FALSE
"136","Yellowtail",7,"SPRING","SPRING_1987",41.65,-67.316667,0,0.0384,FALSE
"137","Yellowtail",7,"SPRING","SPRING_1987",41.083333,-68.283333,0,0.0384,FALSE
"138","Yellowtail",7,"SPRING","SPRING_1987",41.766667,-67.233333,0,0.0384,FALSE
"139","Yellowtail",7,"SPRING","SPRING_1987",41.016667,-68.416667,0,0.0384,FALSE
"140","Yellowtail",7,"SPRING","SPRING_1987",41.266667,-67.45,0.4,0.0384,FALSE
"141","Yellowtail",7,"SPRING","SPRING_1987",41.35,-67.2,0,0.0384,FALSE
"142","Yellowtail",7,"SPRING","SPRING_1987",41.9,-67.266667,0,0.0384,FALSE
"143","Yellowtail",7,"SPRING","SPRING_1987",40.8,-68.333333,0,0.0384,FALSE
"144","Yellowtail",7,"SPRING","SPRING_1987",41.733333,-68.166667,0,0.0384,FALSE
"145","Yellowtail",7,"SPRING","SPRING_1987",42.016667,-67.133333,0,0.0384,FALSE
"146","Yellowtail",7,"SPRING","SPRING_1987",41.9,-67.6,0,0.0384,FALSE
